Begini Cara Android P Menghemat Baterai,"
KOMPAS.com -  Android P baru saja dirilis dalam format beta dalam agenda  Google I/O 2018 yang berlangsung di Mountain View, California. Fitur-fitur baru yang dibawa  Android P turut diperkenalkan Google dalam acara tersebut.Salah satunya adalah fitur Adaptive Battery yang akan membantu pengguna Android menghemat daya baterai di perangkatnya. Tak jarang, pengguna Android mengeluhkan baterai perangkatnya yang cepat terkuras.Adaptive Battery dihadirkan Google bersama anak perusahaannya yang fokus dalam teknologi artificial intlligence, yakni DeepMind. Seperti namanya, fitur ini akan menyesuaikan kebutuhan aplikasi yang digunakan sehari-hari.Baca juga: Baterai Android Boros? Segera Lakukan Ini"
John Legend Jadi Pengisi Suara Google Assistant,"
KOMPAS.com - Penyanyi internasional  John Legend menjadi salah satu pengisi suara asisten virtual,  Google Assistant. Pelantun lagu ""All of Me"" tersebut menjadi satu dari enam suara baru yang mengisi suara asisten digital Google.
Perusahaan search engine raksasa itu menggandeng perusahaan teknologi WaveNet dalam proses perekaman. Dilansir KompasTekno dari The Verge, Kamis (10/5/2018) suara merdu John Legend siap membantu pengguna Android mulai tahun ini.
Suara pemenang Grammy Award ini bisa didengarkan melalui mobile dan home speaker. Bukan kali ini saja Google menggandeng John Legend dalam proyeknya.
Menurut CEO Google, Sundar Pichai, suara John Legend tak akan muncul di setiap perintah suara. Suara Legend hanya akan merespons beberapa perintah dasar saja, seperti mengucapkan ""hai"", atau membacakan berita cuaca.
Baca juga: Video Klip John Legend Direkam Sepenuhnya dengan Google Pixel 2
Dalam kesempatan Google I/O 2018, Google menyebut jika pengguna tak lagi harus mengatakan ""OK Google"" untuk memerintah  Google Assistant. Dengan fitur baru bernama ""Pretty Please"", pengguna bisa menggunakan kata ""please"" (tolong) dan ""thank you"" (terima kasih) untuk membuat perintah.
Hal ini dikarenakan, Google ingin semua orang termasuk anak-anak yang memanfaatkan  Google Assistant, menerapkan sopan santun bahkan kepada asisten virtual.
Sebelumnya, Google berkolaborasi dalam penggarapan video musik lagu teranyar John Legend berjudul ""A Good Night"". Video tersebut direkam seluruhnya menggunakan smartphone pabrikan Google yakni Pixel 2 dan Pixel 2 XL.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
"Google Maps Bakal Pandu Jalan Pakai ""Augmented Reality""","
KOMPAS.com - Layanan peta digital  Google Maps bakal dilengkapi teknologi realitas tertambah alias Augmented Reality (AR). Hal tersebut diumumkan dalam ajang kumpul developer “Google I/O” 2018 di Mountain View, Amerika Serikat. Dalam konteks lebih besar, Google menyebut peta digital masa depan akan semakin berbasis visual atau diistilahkan “Visual Positioning System” (VPS). VPS menggabungkan teknologi AR, Street View, dan sistem nagivasi Google Maps selama ini. VPS mengekspansi fungsi standar GPS dan sensor kompas, melibatkan kamera smartphone untuk mengidentifikasi komponen visual di sekitar pengguna. Dengan begitu, navigasi via smartphone bakal terasa lebih nyata dan informatif. Ketika memasukkan destinasi pada Google Maps dan meminta arahan, pengguna tak lagi melihat peta yang kaku dengan navigator berbentuk titik biru.
Pengguna akan ditampilkan gambar jalan yang sebenarnya, serta informasi seperti restoran dan tempat menarik lainnya sepanjang rute. Navigatornya adalah karakter animasi yang menggemaskan. Pengguna akan merasa dituntun oleh makhluk nyata, sebagaimana dihimpun KompasTekno, Kamis (10/5/2018), dari AndroidPolice.Google Maps berbasis AR sejatinya bukan wacana baru. Raksasa mesin pencari sudah sesumbar soal inovasi itu sejak ajang Google I/O tahun lalu. Hanya saja, dulu cuma ponsel dengan hardware berbasis Tango yang bisa menjajalnya. Penggunaannya juga terbatas pada area indoor. Kini, VPS 2.0 sifatnya lebih membumi untuk pengguna Android pada umumnya. Belum jelas kapan Google akan merilis pembaruan Maps dengan VPS. Dalam presentasinya, perwakilan Google hanya menyebut “dalam beberapa bulan ke depan”. Kita tunggu saja.Baca juga : Google Maps Jadikan Gedung dan Restoran Sebagai Patokan Arah Jalan 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
"Fitur ""Your Phone"" Bisa Operasikan Ponsel di Desktop Windows 10","
KOMPAS.com - Raksasa software,  Microsoft telah menyerah dengan bisnis  Windows Phone yang semakin mendekati kematian. Namun perusahaan yang berbasis di Redmond tersebut, masih berupaya di bisnis itu melalui produk software.Salah satunya dengan merilis aplikasi baru berjuluk ""Your Phone"" untuk  Windows 10. Fitur tersebut dirilis dalam agenda Microsoft Build 2018 yang mulai berlangsung sejak tanggal 7 Mei 2018 di Seattle, Washington.""Your Phone"" didesain untuk mencerminkan data dari ponsel langsung di desktop. Artinya, data seperti SMS, foto, dan pemberitahuan dari ponsel bisa diakses langsung melalui desktop Windows 10.Konsep ini sebelumnya sudah dikenalkan oleh Dell pada awal 2018 ini, yang menampilkan notifikasi ponsel ke layar PC.Sehingga tak perlu khawatir jika tidak ada ponsel saat bekerja di depan laptop, atau bolak-balik menatap layar PC dan smartphone saat muncul notifikasi. Tanpa ponsel fisik, pengguna Windows masih bisa membalas pesan, berbagi foto dari ponsel, serta melihat dan melihat notifikasi yang muncul di ponsel.Fitur ini akan mendarat di  iOS dan  Android. Namun, dilansir KompasTekno dari The Verge, Rabu (9/5/2018), aplikasi ini akan bekerja secara lebih baik di ekosistem Android.Baca juga: Update Windows 10 Bikin Chrome Hang, Ini Saran Microsoft"
"Yahoo Perkenalkan Squirrel, Aplikasi Chatting Pesaing WhatsApp","

KOMPAS.com - Aplikasi pertukaran pesan singkat saat ini masih cukup digemari. Lihat saja perkembangan Whatsapp atau Telegram yang semakin tinggi penggunanya. Tak mau ketinggalan,  Yahoo pun masuk ke dalam bisnis ini dengan meluncurkan aplikasi  chatting miliknya sendiri.
Aplikasi yang dinamai Squirrel ini membawa sejumlah fitur yang merupakan kombinasi dari aplikasi perpesanan dan fungsi obrolan grup.Nilai jual utama dari Squirrel yang membedakan dengan aplikasi pesan instan lainnya adalah, pengguna bisa masuk ke dalam grup atau chatroom tertentu hanya melalui undangan.
Jadi aplikasi ini bakal terasa lebih eksklusif dan tertutup serta tidak sembarang orang yang bisa masuk atau dimasukkan ke dalam grup. 
""Kami mendengarkan dan menguji produk baru berdasarkan penelitian dan tanggapan pengguna. Saat ini kami sedang bereksperimen dengan aplikasi perpesanan yang hanya bisa diikuti dengan undangan, yang fokus pada peningkatan komunikasi kelompok sehari-hari,"" ungkap juru bicara Yahoo, seperti dikutip KompasTekno dari Techcrunch, Rabu (9/5/2018).
Pada aplikasi ini, pengguna dapat membuat ruang obrolan yang bisa diatur untuk publik maupun pribadi. Kemudian fitur standar lainnya seperti berbagi file, foto atau ""mencolek"" pengguna lain pun hadir pada aplikasi ini.
Squirrel memang sepertinya lebih ditujukan sebagai aplikasi perpesanan yang fokus pada obrolan grup, bukan obrolan antar-pribadi. Mungkin jika boleh membandingkan, aplikasi ini cukup mirip dengan Slack yang biasa digunakan untuk aktivitas perkantoran.  Kendati demikian dari pantauan KompasTekno, aplikasi ini belum tersedia baik di Google Play maupun App Store Indonesia. Belum jelas kapan aplikasi ini akan hadir, pasalnya saat ini pun Squirrel masih dalam tahap pengembagan dan hanya pengguna di negara tertentu yang bisa mencobanya. 
Yahoo sendiri sejatinya bukan pemain baru dalam dunia pesan instan ini. Yahoo  Messenger sempat menjadi primadona aplikasi perpesanan yang banyak digunakan oleh pengguna internet.
Saat ini pun Yahoo Messenger masih cukup banyak digunakan. Saat ini Yahoo Messenger masih berada pada peringkat 160 di iOS dan peringkat 117 di Android untuk kategori perpesanan.
Belum ada kejelasan juga apakah Squirrel nantinya akan menggantikan posisi Yahoo Messenger yang sudah semakin tua ini atau memang ini adalah produk yang menyasar segmen baru.Baca juga : Semua Akun Yahoo Ternyata Diretas 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
"FaceID di iPhone X Bermasalah, Apple Malah Perintahkan Cek Kamera Belakang","
KOMPAS.com -  Apple secara tidak langsung mengakui bahwa  iPhone X, tepatnya fitur  Face ID di dalamnya, memiliki sebuah cacat yang cukup serius. Selain itu ada juga informasi misterius yang muncul di sela kecacatan tersebut.Pengakuan Apple terindikasi dari memo kebijakan servis dan penggantian perangkat yang diedarkan ke berbagai pusat servis resmi perusahaan. Di dalamnya disebutkan bahwa pusat servis resmi harus memperbaiki iPhone X yang dikeluhkan bermasalah atau memberi ganti perangkat baru jika masalah itu tidak bisa diperbaiki.""Untuk memberikan pengalaman terbaik pada pelanggan, jika seorang pelanggan melaporkan adanya masalah pada Face ID, maka Anda diperbolehkan menyelesaikannya dengan perbaikan pada kamera belakang,"" demikian cuplikan memo tersebut, sebagaimana bocoran yang dilansir KompasTekno melalui MacRumors, Rabu (9/5/2018).""Jalankan AST 2 pada perangkat pengguna untuk mengecek kamera tersebut. Jika diagnosis menemukan adanya masalah, lalukan perbaikan untuk mengetahui apakah bisa dipulihkan. Jika tidak berhasil maka gantilah seluruh unit tersebut,"" imbuhnya.Namun ada hal yang misterius, bahkan cenderung aneh pada memo perintah perbaikan itu. Di dalamnya diinstruksikan bahwa perbaikan Face ID mesti dilakukan dengan mengecek kamera belakang iPhone X.Padahal fitur Face ID sebenarnya berfungsi memindai wajah pemilik iPhone X memakai teknologi TrueDepth di kamera depan.Apple sendiri tidak berkomentar mengenai kaitan Face ID dengan kamera belakang, juga tidak mengumumkan program servis resmi pada pemilik iPhone X. Sementara itu memo perbaikan tersebut merupakan perintah internal yang bocor ke publik.Sebelumnya, pasca perilisan iPhone X ada cukup banyak keluhan mengenai teknologi Face ID di dalamnya. Beberapa di antaranya mengeluh karena kunci berdasarkan wajah itu bisa dibuka oleh orang lain. Ada yang dibuka oleh anaknya, saudaranya, atau dibuka oleh orang yang menggunakan topeng.Baca juga : Apple Jelaskan Cara Kerja Face ID iPhone X 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
Microsoft Bawa Fitur Unggulannya ke Android dan iOS,"
KOMPAS.com - Windows Phone maupun Windows 10 Mobile memang sudah ""dimatikan"" oleh  Microsoft. Proyek ini tak dilanjutkan lagi lantaran kalah saing dengan  Android dan  iOS.
Kendati demikian, ambisi Microsoft untuk merambah dunia mobile sepertinya masih belum surut.
Kali ini perusahaan besutan Bill Gates itu meluncurkan Windows Timeline yang bakal terintegrasi dengan Microsoft Launcher pada Android dan Edge pada iOS.
Windows Timeline sejatinya adalah fitur unggulan dari Windows 10 yang memungkinkan pengguna melanjutkan berbagai pekerjaan dari perangkat yang berbeda.
Jadi misalnya, pengguna tengah membuka aplikasi atau situs web tertentu lewat perangkat A, maka dengan mudah pengguna akan melanjutkannya di perangkat B atau C.
Awalnya fitur ini hanya terbatas pada perangkat komputer saja. Dengan dirilisnya Windows Timeline untuk iOS dan Android, maka kini bisa dilakukan lintas gadget.
""Microsoft Launcher di Android juga akan mendukung Timeline untuk peluncuran aplikasi lintas perangkat,"" tulis Microsoft seperti dikutip KompasTekno dari TechCrunch, Rabu (9/5/2018).
Windows Timeline juga bakal hadir pada perangkat iOS yakni iPhone dan iPad meski kemampuannya lebih terbatas. Pasalnya Apple tak memberikan izin pada pengembang untuk mengubah tampilan antarmukanya melalui launcher.
Microsoft memungkinkan pengguna iOS untuk melanjutkan pekerjaannya lewat browser Edge atau menu ""continue on PC"". Memang sedikit lebih rumit dari Android tetapi pengguna dijanjikan akan merasakan pengalaman yang sama.
""Besok, kami akan menunjukkan bagaimana akhir tahun ini Anda akan dapat mengakses Timeline yang sama dengan Microsoft Edge,"" tulis Microsoft.
Windows Timeline sejatinya adalah salah satu fitur unggulan pada Windows 10. Untuk versi PC atau desktop, Timeline memungkinkan pengguna untuk melihat apa saja yang telah dikerjakan selama 30 hari ke belakang.
Fitur ini dipercaya dapat mempermudah penggunanya untuk memantau apa saja yang pernah dimuat pada perangkat komputernya. Atau ketika pengguna kehilangan dokumen, maka dengan Timeline ini pengguna akan lebih mudah menemukan dokumen tersebut.Baca juga : Microsoft Siapkan Windows 10 Lean 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
Instagram Stories Bakal Bisa Disisipi Musik?,"
KOMPAS.com -  Instagram paham betul bagaimana memanjakan para maniak  Instagram Stories. Fitur-fitur baru terus ditambahkan di Instagram Stories untuk membuat ""nyaman"" para penggunanya.
Kabar paling baru menyebut Instagram sedang mengembangkan fitur baru, di mana pengguna bisa menyisipkan potongan  musik di postingan Stories-nya. Fitur tersebut kemungkinan bakal bernama ""Music Stickers"".
Beberapa kode program ditemukan di aplikasi Android yang memungkinkan penggunanya untuk mencari dan menambahkan lagu di postingan Stories mereka.
Baca juga: Posting Spotify ke Instagram Stories Tanpa Screenshot, Begini Caranya
Fitur ini kemungkinan menjadi realisasi dari kesepakan Facebook dengan beberapa label rekaman besar, yang baru diresmikan. Kesepakan tersebut mengizinkan pengguna Instagram untuk mengakses musik secara gratis.
Pengguna Instagram saat ini kerap menyisipkan lagu di kiriman Stories mereka. Namun, untuk membuatnya, memerlukan usaha cukup rumit, yakni dengan menggunakan aplikasi pihak ketiga. 
Dihimpun KompasTekno dari Uber Gizmo, Selasa (8/5/2018), fitur "" Musik Sticker"" juga memungkinkan penggunanya melakukan karaoke di Instagram Stories.
Jika benar, tak hanya Snapchat saja yang semakin tersaingi oleh Instagram Stories, namun juga aplikasi karaoke populer, seperti Smule. Hingga saat ini, belum ada konfirmasi resmi dari WhatsApp kapan fitur ini siap untuk dirilis.
Baca juga: Instagram Beri Fitur Pembayaran bagi Pengguna Terpilih

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
Video Instagram dan Facebook Bisa Diputar Langsung di WhatsApp,"
KOMPAS.com - Aplikasi pesan instan  WhatsApp, kini memungkinkan penggunanya untuk memutar langsung video yang dibagikan dari  Instagram dan  Facebook.
Sehingga pengguna tak perlu repot-repot keluar dari jendela percakapan WhatsApp saat untuk melihat video dari Instagram dan Facebook yang diterimanya saat chatting.
Sebelumnya, jika pengguna mendapatkan kiriman video dari Instagram dan Facebook, pengguna dipaksa keluar dari jendela setelah meng-klik kiriman tersebut.
Sebelumnya, YouTube lebih dulu menghadirkan fitur serupa di WhatsApp.
Video dari YouTube yang dikirimkan ke WhatsApp akan diputar dalam sebuah jendela kecil (picture in picture) yang bisa ditonton walaupun pengguna pindah ""kamar"" percakapan dengan pengguna lain.
Baca juga : WhatsApp Video Call Bakal Tampung Lebih dari 2 Orang
Akan tetapi, fitur tersebut baru tersedia di iOS sementara pengguna Android belum kebagian.
Perlu diingat jika tak semua orang sudah bisa menikmati fitur paling anyar ini. Sebagian pengguna baru akan bisa menggunakan fitur ini dalam beberapa waktu kedepan.
Dirangkum KompasTekno dari Engadget, Selasa (8/5/2018), fitur putar video dari Facebook dan Instagram di jendela WhatsApp baru tersedia di perangkat iOS versi pembaruan 2.18.51 saat ini. Pengguna Android masih harus menunggu waktu untuk bisa menikmati fitur tersebut.Baca juga : Cara Ganti Huruf di WhatsApp Jadi Tebal dan Miring 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
Alcatel-Lucent Ajak Mahasiswa Ciptakan Aplikasi Mobile,"
MALANG, KOMPAS.com - Alcatel-Lucent Enterprise (ALE) menantang para developer untuk menciptakan aplikasi mobile dengan platform rainbow melalui ALE Hackathon 2018. ""Kita mengundang mahasiswa untuk sama-sama membangun konsep ide di sekitar platform rainbow ini,"" kata Country Manager ALE Indonesia, Adios Purnama di Fakultas Ilmu Komputer, Universitas Brawijaya, Kota Malang, Kamis (3/5/2018). Menurut Adios, ALE Hackathon bisa diikuti oleh mahasiswa berbagai kampus dan komunitas developer di Indonesia. Nantinya, para developer itu akan ditantang untuk membuat aplikasi yang bisa digunakan di berbagai sektor. Seperti sektor pemerintahan, transportasi, pendidikan, perhotelan, dan kesehatan. Adios mengatakan, sejauh ini Indonesia dikenal sebagai salah satu negara pengguna perangkat mobile terdepan di Asia dengan lebih dari 70 persen traffic internet digunakan melalui ponsel. Dengan begitu, pengembangan aplikasi mobile memiliki kontribusi besar terhadap pemerintah dalam mewujudkan digitalisasi di setiap sektor. ""ALE Hackathon 2018 merupakan kontribusi kecil kami dalam mendukung program pemerintah merealisasikan ekonomi digital,"" katanya. Kepala Jurusan Sistem Informasi, Universitas Brawijaya, Herman Tolle mengatakan, momen Hacktahon merupakan kesempatan untuk menggali potensi developer muda. ""Ini merupakan langkah positif untuk mengembangkan potensi para developer muda dan mendorong pertumbuhan komunitas developer,"" katanya.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
Instagram Beri Fitur Pembayaran bagi Pengguna Terpilih,"
KOMPAS.com -  Instagram diam-diam menambahkan  fitur pembayaran digital. Namun, fitur itu baru bisa digunakan untuk beberapa pengguna tertentu yang dipilih, di wilayah AS dan Inggris.Dengan fitur ini, pengguna bisa menambahkan kartu kredit atau debit mereka, dengan profil Instagram kemudian menyetel pin keamanan. Sehingga, pengguna Instagram bisa melakukan pembayaran digital langsung di aplikasi, alias tanpa harus meninggalkan platform berbagi foto tersebut. Instagram sudah bekerja sama dengan aplikasi pemesanan restoran, Resy.Nantinya, para pengguna juga dijanjikan untuk bisa memesan tiket bioskop. Saat ini, beberapa pengguna Instagram di Amerika Serikat dan Inggris dilaporkan sudah memiliki akses fitur pembayaran di Instagram.Baca juga: Instagram Bisa Saring Komentar Bullying, Begini CaranyaInstagram agaknya membuktikan janjinya tahun lalu untuk mengizinkan penggunanya melakukan transaksi melalui aplikasi. Dirangkum KompasTekno dari Cnet, Jumat (4/5/2018), Instagram baru menggandeng beberapa mitra bisnis di fitur ini.Induk Instagram, Facebook sudah lebih dulu menghadirkan fitur pembayaran di platform Messenger. ""Saudara"" Instagram, WhatsApp juga telah merilis fitur serupa bertajuk ""WhatsApp Payments"" yang baru diuji coba di India awal tahun ini.Baca juga: WhatsApp Mulai Bisa Dipakai Kirim Uang

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
"Update Windows 10 Bikin Chrome ""Hang"", Ini Saran Microsoft","
KOMPAS.com - Usai memasang update terbaru  Windows 10 yang dirilis April lalu, sejumlah pengguna mulai mengeluhkan masalah. Komputer mereka bisa tiba-tiba membeku (freeze, hang) saat membuka Google  Chrome.Browser ini dilaporkan bisa membuat komputer membeku (freeze, hang) tanpa alasan atau pola tertentu. Microsoft pun memberikan solusi sementara untuk masalah ini.Ada pengguna yang mengatakan, komputer mereka hang ketika membuka tab Chrome baru, membuka jendela baru, ataupun ketika browser Chrome baru saja dijalankan. Komputer bisa dipulihkan dengan cara melakukan restart, tapi ini tidak menghilangkan problem Chrome yang membeku secara acak.Sebagaimana dirangkum KompasTekno dari The Verge, Jumat (4/5/2018), Microsoft selaku empunya Windows 10 mengakui adanya masalah tersebut, dan sedang menyiapkan “obatnya”.Baca juga: Jutaan Android Hang Tiap Hari gara-gara Ucapan Selamat Pagi “Microsoft telah mengetahui bahwa beberapa perangkat yang menjalankan Update Windows 10 April (versi 1803) bisa hang atau freeze saat menjalankan aplikasi tertentu, seperti ‘Hey Cortana' atau Chrome,” sebut sang raksasa software dalam keterangan di support site miliknya.Perbaikan untuk masalah ini diharapkan bisa cepat selesai dan disertakan dalam update rutin Windows 10 berikutnya, yang dijadwalkan rilis pada 8 Mei 2018 mendatang. Selagi menunggu obatnya, Microsoft menawarkan cara berikut sebagai solusi sementara, apabila komputer mengalami hang:1. Coba kombinasi tombol Windows untuk “membangunkan layar”.  Caranya, tekan tombol “Windows + ctrl + shift + b” (tanpa tanda kutip) secara bersamaan. Jika menggunakan tablet, tekan tombol volume up dan volume down secara bersamaan sebanyak 3 kali dalam waktu 2 detik. Apabila sistem masih bisa merespon, akan terdengar bunyi “bip” singkat, dan layar akan berkedip atau menurunkan tingkat kecerahan.2. Untuk pengguna laptop, cobalah menutup dan membuka kembali layar perangkat.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
"Aplikasi ""Sketchbook"" Kini Gratis di Android dan iOS, Ini Link Download-nya","
KOMPAS.com - Salah satu perusahaan software dunia  Autodesk resmi merilis  aplikasi Sketchbook secara gratis.  Aplikasi ini bakal tersedia di ponsel atau tablet berbasis  Android dan  iOS, serta versi desktop.
Per 30 April, semua pengguna Android dan iOS bisa mengunduh aplikasi Sketchbook, lengkap dengan fitur di versi Sketchbook Pro.
Pengguna Android bisa mengunduh aplikasi Sketchbook di tautan berikut ini. Sementara pengguna iPhone/iPad (iOS) bisa mengunduhnya di toko aplikasi App Store di tautan berikut.
Untuk versi desktop berbasis  Windows, pengguna bisa mengunduhnya di Microsoft Store di tautan ini, Sementara untuk penggguna MacOS, aplikasi Sketchbook bida diunduh di Mac App Store melalui tautan berikut ini. Selain itu, pengguna juga bisa mengunduh langsung aplikasi menggambar ini dari situs resmi Sketchbook di tautan berikut ini. 
Baca juga: Wikipedia Versi Gratis Ditutup 
Setelah terpasang di perangkat, pengguna memiliki dua opsi, yakni ""individul"", yang merupakan opsi gratisan setelah menggunakan masa uji coba selama tujuh hari.Autodesk juga menyediakan opsi berbayar ""Enterprise License"" yang menyediakan dukungan software yang lebih luas, dengan membayar 85 dollar AS (sekitar Rp Rp 1,18 juta).
Sketchbook adalah aplikasi yang kerap digunakan untuk menggambar sketsa dan ilutrasi secara digital. Aplikasi ini diklaim menjadi salah satu aplikasi terbaik untuk menggambar dan melukis digital di iPad.
Sebenarnya, Autodesk Skecthbook versi 4.0 yang rilis tahun lalu sudah dapat diunduh secara gratis di iTunes dan Google Play. Namun, ada beberapa opsi berbayar seperti Skecthbook Pro.
Baca juga: Aplikasi Apple Menurun untuk Pertama Kalinya
Sebelumnya, untuk menggunakan fitur Sketchbook Pro, pengguna harus membayar dengan skema in-app purchase (metode pembelian dalam aplikasi) seharga 4,99 dollar AS (sekitar Rp 70.000).
Pengguna juga bisa menjadi anggota Pro dengan membayar 29,99 dollar AS (sekitar Rp 419.000) per tahun atau 4,99 dollar AS (sekitar Rp 70.000) per bulan, sebagaimana KompasTekno rangkum dari Digital Arts Online, Jumat (4/5/2018).
Autodesk mengatakan akan terus mengembangkan Sketchbook dan Sketchbook for Enterprise yang fokus untuk memudahkan para perancang, arsitek, dan animator. Bagi pengguna yang telanjur berlangganan Sketchbook Pro, uang tidak akan dikembalikan.
Cara menggunakan Sketchbook
Untuk pengguna Microsoft yang sudah meng-install Sketchbook Pro di desktop, cukup masukan Autodesk ID lalu lanjutkan ke Sketchbook.
Sementara pengguna yang membeli di iTunes Store atau  Mac App store, harus memperbarui veri baru Sketchbook, lalu masuk menggunakan Autodesk ID untuk menggunakan Sketchbook. Cara tersebut juga berlaku bagi pengguna Anroid yang mengunduh Sketchbook di  Google Play Store.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
"Instagram Bisa Saring Komentar ""Bullying"", Begini Caranya","
KOMPAS.com -  Instagram meluncurkan fitur untuk menyaring komentar bernada perundungan (bullying). Fitur tersebut dikenalkan bersamaan dengan fitur baru, dalam agenda Facebook F8 Conference awal Mei ini di California.
""Kami tidak menoleransi perundungan di Instagram. Pedoman Komunitas kami telah melarang perundungan di platform ini"", tulis Co-Founder dan CEO Instagram, Kevin Systrom, seperti dirangkum KompasTekno dari blog resmi Instagram, Kamis (3/5/2018).
Penyaringan komentar bisa dilakukan dengan memilih menu ""Settings"" (pengaturan). Gulir ke bawah hingga menemukan opsi ""Comment"" (komentar) hingga terbuka menu ""Comment control"" (kontrol komentar).
Pengguna bisa langsung mengaktifkan fitur filter komentar secara otomatis di opsi ""hide offensive comments"" (sembunyikan komentar menyinggung). Baca juga: Cegah Bully, Instagram Rilis Fitur Tutup Komentar Dengan mengaktifkan menu tersebut, Instagram akan mengandalkan algoritma untuk menyaring komentar yang kemungkinan bernada perundungan.
Instagram Fitur filter komentar di Instagram
Penyaringan juga bisa dilakukan secara manual di menu ""manual filter"" (filter manual). Pengguna bisa memasukkan kata-kata yang ingin diblokir secara manual.Bisa juga mengaktifkan opsi ""use default keywords"" (gunakan kata kunci default ) untuk menyembunyikan kata atau frasa yang dianggap menyinggung, dan tidak pantas di Instagram.
Khusus kata kunci default, hanya tersedia dalam bahasa tertentu. Kata kunci khusus di menu manual filter juga belum mendukung aksara tanpa spasi, seperti huruf kanji, bahasa Mandarin, dan bahasa Thailand.
Baca juga: Heboh Persekusi di Media Sosial, Ini Kiat agar Tidak Jadi Korbannya 
Untuk menggunakan fitur baru ini, pengguna harus meng-update Instagram ke versi 43.0.0, baik di perangkat Android maupun iOS. Kebijakan soal anti perundungan ini diharapkan membuat Instagram sebagai tempat yang nyaman untuk berekspresi dan mengungkapkan diri.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
Bixby Vision di Ponsel Galaxy Jadi Favorit Pengguna di Indonesia,"
JAKARTA, KOMPAS.com - Asistem digital  Bixby yang tertanam di smartphone  Samsung, diklaim mendapat respons positif dari para pengguna di Indonesia. Hal itu diutarakan oleh Denny Galant, Head of Product Marketing IM Business Samsung Electronics Indonesia. Menurutnya, Bixby  Vision menjadi elemen Bixby yang paling populer digunakan. Seperti diketahui, asisten digital Bixby memang memiliki tiga elemen, yakni Bixby Voice, Bixby Home, dan Bixby Vision. Bixby Vision adalah teknologi augmented reality (AR) yang salah satu kemampuannya bisa mengenali obyek lewat kamera, untuk kemudian dicari referensinya di internet. Bixby Vision juga bisa digunakan untuk menerjemahkan teks bahas asing secara real time. Fungsi itu dijalankan lewat tombol khusus di kamera milik Samsung. Bixby Vision hadir pada ponsel kelas premium, semisal seri  Galaxy S dan Galaxy A. Baca juga: Bixby Vision, Teman Jalan Solo Traveler ke Luar Negeri ""Kami lihat itu memang teknologi masa depan dan relevan dengan kebutuhan konsumen. Di Indonesia, Bixby Vision mendapat respons yang sangat bagus, sangat positif,"" ungkap Denny saat acara peluncuran Galaxy J7 Duo di kawasan Thamrin, Kamis (3/5/2018). Kesimpulan yang didapat Samsung bukan melalui data-data penjualan, melainkan dari diskusi ringan rutin dengan pengguna. Dari sinilah terlihat bahwa Bixby Vision menjadi fitur favorit yang paling sering digunakan. ""Kami tidak mengukur dari angka penjualan, tapi secara rutin kami mendengarkan suara konsumen. Kami tanya pendapat mereka (soal Bixby), dan lain-lain. Kemampuan kecerdasan buatan bakal berguna dan relevan dengan kebutuhan,"" lanjutnya. Selain Bixby Vision, masih ada Bixby Voice yang memungkinkan pengguna menjalankan aneka perintah dan action lewat suara di berbagai aplikasi, seperti galeri, reminder, contacts, dan kamera. Ada juga Bixby Home yang diluncurkan lewat tombol khusus. Bentuknya berupa deretan kartu (Cards) mirip Google Now yang menunjukkan aneka informasi seperti cuaca, jadwal, dan lain-lain. Bixby sendiri memiliki beberapa kelebihan dibandingkan dengan asisten digital lainnya. Salah satu kelebihan yang paling menonjol adalah dapat mengerti konteks yang sedang ditampilkan pada layar ponsel. Bixby dikatakan akan mempelajari semua kegiatan yang Anda lakukan pada ponsel, sehingga ia dapat merekomendasikan sesuatu kepada pengguna dengan relevan.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });
        

"
